test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
NM_001008547	1700001J03Rik	1700001J03Rik	chr5:146994025-146996880	SVZ_IZ	VZ	OK	0.324702	0	-1.79769e+308	-1.79769e+308	0.0204744	0.0443092	yes
NM_001008548	Pde2a	Pde2a	chr7:108570204-108661343	SVZ_IZ	VZ	OK	0.441781	0	-1.79769e+308	-1.79769e+308	0.000167147	0.000598173	yes
NM_001012311	Pgbd1	Pgbd1	chr13:21513143-21532922	SVZ_IZ	VZ	OK	0.364956	0	-1.79769e+308	-1.79769e+308	0.00147477	0.00430347	yes
NM_001024856	Ttbk2	Ttbk2	chr2:120558551-120676320	SVZ_IZ	VZ	OK	0.559994	0	-1.79769e+308	-1.79769e+308	1.40E-08	9.25E-08	yes
NM_001025259	Mbp	Mbp	chr18:82644514-82755029	SVZ_IZ	VZ	OK	0.349599	0	-1.79769e+308	-1.79769e+308	0.00224846	0.00628085	yes
NM_001025582	Dram2	Dram2	chr3:106350744-106377763	SVZ_IZ	VZ	OK	0.55628	0	-1.79769e+308	-1.79769e+308	0.00297981	0.00808742	yes
NM_001042613	Sepp1	Sepp1	chr15:3220766-3230508	SVZ_IZ	VZ	OK	0.395382	0	-1.79769e+308	-1.79769e+308	0.00824154	0.0199926	yes
NM_001044386	Zfx	Zfx	chrX:91319969-91368746	SVZ_IZ	VZ	OK	1.34685	0	-1.79769e+308	-1.79769e+308	4.44E-11	3.83E-10	yes
NM_001048228	Dbndd2	Dbndd2	chr2:164311639-164318823	SVZ_IZ	VZ	OK	0.335373	0	-1.79769e+308	-1.79769e+308	0.00130722	0.00386113	yes
NM_001077362	Fhl1	Fhl1	chrX:53984963-54046523	SVZ_IZ	VZ	OK	0.783726	0	-1.79769e+308	-1.79769e+308	0.000348014	0.00116583	yes
NM_001077398	Ldb2	Ldb2	chr5:44863371-45190946	SVZ_IZ	VZ	OK	0.345558	0	-1.79769e+308	-1.79769e+308	0.00449673	0.0116964	yes
NM_001110854	Crem	Crem	chr18:3266351-3366861	SVZ_IZ	VZ	OK	0.973484	0	-1.79769e+308	-1.79769e+308	0.000107844	0.000399729	yes
NM_001111052	Dclk1	Dclk1	chr3:55046447-55342990	SVZ_IZ	VZ	OK	0.73105	0	-1.79769e+308	-1.79769e+308	9.98E-08	5.93E-07	yes
NM_001111100	Lipa	Lipa	chr19:34566805-34601964	SVZ_IZ	VZ	OK	1.04733	0	-1.79769e+308	-1.79769e+308	4.29E-06	2.02E-05	yes
NM_001113461	Tec	Tec	chr5:73146961-73259687	SVZ_IZ	VZ	OK	0.614278	0	-1.79769e+308	-1.79769e+308	8.17E-06	3.69E-05	yes
NM_001114879	D14Abb1e	D14Abb1e	chr14:28242032-28321646	SVZ_IZ	VZ	OK	1.87784	0	-1.79769e+308	-1.79769e+308	1.39E-13	1.49E-12	yes
NM_001122736	Igf2	Igf2	chr7:149836672-149856261	SVZ_IZ	VZ	OK	1.24702	0	-1.79769e+308	-1.79769e+308	2.54E-07	1.43E-06	yes
NM_001127355	Eif2b4	Eif2b4	chr5:31489930-31495512	SVZ_IZ	VZ	OK	1.37588	0	-1.79769e+308	-1.79769e+308	3.77E-05	0.00015164	yes
NM_001128170	Cyld	Cyld	chr8:91220926-91275845	SVZ_IZ	VZ	OK	0.603115	0	-1.79769e+308	-1.79769e+308	1.08E-07	6.41E-07	yes
NM_001130149	Drosha	Drosha	chr15:12754569-12865046	SVZ_IZ	VZ	OK	0.55184	0	-1.79769e+308	-1.79769e+308	3.84E-05	0.000154208	yes
NM_001142336	Lmo2	Lmo2	chr2:103798151-103822035	SVZ_IZ	VZ	OK	0.996014	0	-1.79769e+308	-1.79769e+308	0.000420231	0.00138281	yes
NM_001159729	Rab23	Rab23	chr1:33776740-33799409	SVZ_IZ	VZ	OK	1.06265	0	-1.79769e+308	-1.79769e+308	3.71E-07	2.04E-06	yes
NM_001161537	Islr2	Islr2	chr9:58044103-58056615	SVZ_IZ	VZ	OK	1.01483	0	-1.79769e+308	-1.79769e+308	4.58E-07	2.48E-06	yes
NM_001162941	Mapre2	Mapre2	chr18:23910833-24052362	SVZ_IZ	VZ	OK	0.33961	0	-1.79769e+308	-1.79769e+308	0.000993829	0.00301706	yes
NM_001162947	Nek3	Nek3	chr8:23238754-23276907	SVZ_IZ	VZ	OK	0.602701	0	-1.79769e+308	-1.79769e+308	0.00144369	0.00422057	yes
NM_001163185	Plekhb1	Plekhb1	chr7:107792409-107810908	SVZ_IZ	VZ	OK	0.481819	0	-1.79769e+308	-1.79769e+308	0.000373954	0.00124359	yes
NM_001163556	Pou2f2	Pou2f2	chr7:25876133-25917479	SVZ_IZ	VZ	OK	0.42468	0	-1.79769e+308	-1.79769e+308	0.000144086	0.000521821	yes
NM_001163686	Dok5	Dok5	chr2:170557306-170705275	SVZ_IZ	VZ	OK	0.688019	0	-1.79769e+308	-1.79769e+308	0.00228566	0.00637449	yes
NM_001163747	Tmem192	Tmem192	chr8:67471083-67492935	SVZ_IZ	VZ	OK	1.50179	0	-1.79769e+308	-1.79769e+308	0.00102932	0.00311408	yes
NM_001164037	Ly6e	Ly6e	chr15:74785480-74790335	SVZ_IZ	VZ	OK	0.85377	0	-1.79769e+308	-1.79769e+308	0.000289875	0.000989302	yes
NM_001164250	Tpm1	Tpm1	chr9:66870399-66897020	SVZ_IZ	VZ	OK	0.790259	0	-1.79769e+308	-1.79769e+308	0.00145673	0.00425606	yes
NM_001164252	Tpm1	Tpm1	chr9:66870399-66897020	SVZ_IZ	VZ	OK	1.97315	0	-1.79769e+308	-1.79769e+308	8.33E-06	3.75E-05	yes
NM_001164421	Pqlc1	Pqlc1	chr18:80451983-80489463	SVZ_IZ	VZ	OK	2.85024	0	-1.79769e+308	-1.79769e+308	2.16E-08	1.40E-07	yes
