test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
NM_021299	Ak3	Ak3	chr19:29095321-29123219	SVZ_IZ	VZ	OK	27.3852	54.7709	1.00002	-5.73023	1.00E-08	6.75E-08	yes
NM_001081133	Kif16b	Kif16b	chr2:142444080-142727200	CP	VZ	OK	1.22853	2.45753	1.00028	-4.47894	7.50E-06	3.41E-05	yes
NM_023637	Sars2	Sars2	chr7:29526986-29538898	CP	VZ	OK	5.1124	10.2269	1.0003	-4.91066	9.08E-07	4.71E-06	yes
NM_001255994	Ubox5	Ubox5	chr2:130415731-130455774	SVZ_IZ	VZ	OK	1.19911	2.39894	1.00044	-2.81707	0.00484636	0.0125032	yes
NM_173419	Dleu7	Dleu7	chr14:62895065-62911816	CP	VZ	OK	6.61561	13.2368	1.00061	-4.66107	3.15E-06	1.51E-05	yes
NM_016717	Scly	Scly	chr1:93194914-93217657	CP	VZ	OK	2.359	4.72022	1.00068	-4.05524	5.01E-05	0.000196969	yes
NM_001113179	Bub1	Bub1	chr2:127625935-127657595	SVZ_IZ	VZ	OK	4.7614	9.53184	1.00137	-4.3766	1.21E-05	5.30E-05	yes
NM_178196	Hist1h2bg	Hist1h2bg	chr13:23663268-23663883	CP	VZ	OK	2.74965	5.50468	1.00141	-2.4707	0.0134847	0.0307786	yes
NM_001081100	Morn1	Morn1	chr4:154460685-154519616	CP	VZ	OK	1.315	2.63266	1.00146	-3.0002	0.00269804	0.00739058	yes
NM_031863	Cenpq	Cenpq	chr17:41060003-41071500	SVZ_IZ	VZ	OK	17.1165	34.271	1.0016	-4.71547	2.41E-06	1.18E-05	yes
NM_172476	Tmc7	Tmc7	chr7:125679357-125728200	CP	VZ	OK	1.76632	3.53665	1.00164	-4.70246	2.57E-06	1.25E-05	yes
NM_025970	Zbtb8os	Zbtb8os	chr4:129013269-129024273	CP	VZ	OK	21.7453	43.5418	1.0017	-5.10399	3.33E-07	1.84E-06	yes
NM_017368	Celf1	Celf1	chr2:90780553-90859654	CP	VZ	OK	2.6048	5.2178	1.00227	-4.64138	3.46E-06	1.65E-05	yes
NM_145575	Cald1	Cald1	chr6:34659443-34725469	CP	VZ	OK	8.18521	16.3993	1.00254	-6.67711	2.44E-11	2.16E-10	yes
NM_001185164	Vegfb	Vegfb	chr19:7056961-7062141	CP	VZ	OK	10.5107	21.0627	1.00283	-4.58866	4.46E-06	2.09E-05	yes
NR_002890	Gm12070	Gm12070	chr11:26685107-26687859	CP	VZ	OK	317.149	635.563	1.00288	-6.61547	3.70E-11	3.22E-10	yes
NM_145468	Skp2	Skp2	chr15:9041741-9070207	CP	VZ	OK	0.349267	0.700086	1.0032	-2.64903	0.00807224	0.0196388	yes
NM_031196	Slc19a1	Slc19a1	chr10:76495483-76513177	SVZ_IZ	VZ	OK	2.85626	5.72587	1.00337	-3.31907	0.000903162	0.00277094	yes
NM_001081117	Mki67	Mki67	chr7:142881470-142908062	SVZ_IZ	VZ	OK	28.2608	56.6541	1.00338	-5.87364	4.26E-09	2.99E-08	yes
NM_025680	Ctnnbl1	Ctnnbl1	chr2:157563136-157717639	CP	VZ	OK	25.3978	50.9251	1.00367	-7.33027	2.30E-13	2.43E-12	yes
NM_025881	Luc7l	Luc7l	chr17:26389854-26422451	SVZ_IZ	VZ	OK	6.38318	12.8011	1.00392	-3.57498	0.00035025	0.00117241	yes
NM_177752	Eme1	Eme1	chr11:94491137-94515068	SVZ_IZ	VZ	OK	6.56125	13.1597	1.00408	-4.25384	2.10E-05	8.87E-05	yes
NM_029420	Slx1b	Slx1b	chr7:133832440-133839297	CP	VZ	OK	1.73439	3.47866	1.0041	-3.74146	0.000182952	0.00065008	yes
NM_008065	Gabpa	Gabpa	chr16:84828115-84864023	CP	VZ	OK	9.87749	19.814	1.0043	-7.11413	1.13E-12	1.12E-11	yes
NM_001163741	Ccdc167	Ccdc167	chr17:29797545-29853962	CP	VZ	OK	3.2535	6.52738	1.00451	-5.54451	2.95E-08	1.88E-07	yes
NM_020030	Raet1d	Raet1d	chr10:21878414-22093945	SVZ_IZ	VZ	OK	1.47564	2.96052	1.00451	-2.34959	0.018794	0.0411274	yes
NM_177640	D030056L22Rik	D030056L22Rik	chr19:18787725-18792918	CP	VZ	OK	41.9778	84.2286	1.00468	-7.26893	3.62E-13	3.78E-12	yes
NM_001083317	Slc35a4	Slc35a4	chr18:36830812-36843516	CP	VZ	OK	7.57285	15.1967	1.00485	-5.66454	1.47E-08	9.74E-08	yes
NM_172510	Mfsd4	Mfsd4	chr1:133923197-133964639	CP	VZ	OK	1.04859	2.10429	1.00489	-3.23926	0.00119838	0.00357295	yes
NM_134161	Fut10	Fut10	chr8:32297803-32371955	SVZ_IZ	VZ	OK	1.13242	2.27273	1.00502	-2.73073	0.00631934	0.0157939	yes
NR_015601	Fam120aos	Fam120aos	chr13:49063480-49065274	CP	VZ	OK	10.3738	20.8206	1.00506	-5.53128	3.18E-08	2.02E-07	yes
NM_009150	Selenbp1	Selenbp1	chr3:94737004-94748680	SVZ_IZ	VZ	OK	2.46949	4.95648	1.0051	-3.03075	0.00243948	0.00675529	yes
NM_153116	Gtpbp10	Gtpbp10	chr5:5537456-5559501	CP	VZ	OK	7.44119	14.9428	1.00584	-6.12869	8.86E-10	6.69E-09	yes
NM_001081212	Irs2	Irs2	chr8:10986963-11054541	CP	VZ	OK	2.64522	5.31227	1.00594	-5.10048	3.39E-07	1.87E-06	yes
NM_178609	E2f7	E2f7	chr10:110182520-110224440	SVZ_IZ	VZ	OK	3.7997	7.63079	1.00595	-4.67172	2.99E-06	1.44E-05	yes
NM_008892	Pola1	Pola1	chrX:90550104-90877494	SVZ_IZ	VZ	OK	5.68733	11.4236	1.00619	-5.08077	3.76E-07	2.06E-06	yes
NM_028317	Skida1	Skida1	chr2:17965713-17970076	CP	VZ	OK	9.05983	18.2	1.00638	-6.90916	4.88E-12	4.60E-11	yes
NM_001025395	Src	Src	chr2:157250028-157297574	SVZ_IZ	VZ	OK	14.2072	28.5414	1.00643	-5.51024	3.58E-08	2.26E-07	yes
NM_175388	Rnf169	Rnf169	chr7:107068764-107128968	CP	VZ	OK	2.87527	5.77707	1.00664	-6.10754	1.01E-09	7.59E-09	yes
NM_018737	Ctps2	Ctps2	chrX:159339491-159472473	SVZ_IZ	VZ	OK	2.16513	4.35044	1.00671	-3.8426	0.000121738	0.000447335	yes
NM_001162872	Exoc7	Exoc7	chr11:116149311-116168052	SVZ_IZ	VZ	OK	7.90613	15.8871	1.00682	-4.66877	3.03E-06	1.46E-05	yes
NM_011552	Tcof1	Tcof1	chr18:60973409-61008618	CP	VZ	OK	7.45453	14.9811	1.00696	-6.46067	1.04E-10	8.68E-10	yes
NM_009089	Polr2a	Polr2a	chr11:69547911-69571725	CP	VZ	OK	17.9778	36.1304	1.007	-7.34156	2.11E-13	2.24E-12	yes
NM_027342	Fam162a	Fam162a	chr16:36043929-36071601	CP	VZ	OK	84.568	169.958	1.007	-6.88479	5.79E-12	5.41E-11	yes
NM_133680	Hiatl1	Hiatl1	chr13:65166337-65214290	SVZ_IZ	VZ	OK	2.36096	4.7449	1.00701	-3.39252	0.000692532	0.0021807	yes
NM_001244200	Pax6	Pax6	chr2:105376236-105537521	SVZ_IZ	VZ	OK	19.5236	39.2443	1.00726	-5.37367	7.72E-08	4.65E-07	yes
NM_007708	Cit	Cit	chr5:116295664-116456350	SVZ_IZ	VZ	OK	1.56824	3.15234	1.00728	-3.99627	6.43E-05	0.000248298	yes
NM_010284	Ghr	Ghr	chr15:3267759-3533230	SVZ_IZ	VZ	OK	0.891339	1.79178	1.00735	-2.99882	0.0027103	0.00742103	yes
NM_008095	Gbas	Gbas	chr5:130230949-130264201	CP	VZ	OK	27.1934	54.6711	1.00752	-7.15443	8.40E-13	8.44E-12	yes
NM_053124	Smarca5	Smarca5	chr8:83223842-83263358	CP	VZ	OK	28.3098	56.92	1.00763	-7.47296	7.84E-14	8.60E-13	yes
NM_001172146	Aimp2	Aimp2	chr5:144578660-144670708	CP	VZ	OK	19.5041	39.2204	1.00783	-5.74237	9.34E-09	6.30E-08	yes
NM_177855	Med12l	Med12l	chr3:58810899-59148178	SVZ_IZ	VZ	OK	0.964522	1.9402	1.00832	-3.89347	9.88E-05	0.000368869	yes
NM_001081204	B3galtl	B3galtl	chr5:150480831-150565174	CP	VZ	OK	9.21236	18.5343	1.00855	-6.95725	3.47E-12	3.31E-11	yes
NM_030013	Cyp20a1	Cyp20a1	chr1:60400215-60444231	CP	VZ	OK	7.71463	15.5231	1.00875	-5.15605	2.52E-07	1.42E-06	yes
NM_001077360	Git2	Git2	chr5:115177416-115223501	SVZ_IZ	VZ	OK	1.90085	3.82656	1.0094	-3.56557	0.000363069	0.00121112	yes
NM_001177539	Duxbl3	Duxbl3	chr14:26802490-26809652	CP	VZ	OK	1.02571	2.06496	1.00949	-2.93442	0.00334176	0.00895338	yes
NM_001032727	Sybu	Sybu	chr15:44503402-44637375	SVZ_IZ	VZ	OK	3.21778	6.47925	1.00976	-3.69323	0.000221427	0.000773261	yes
NM_133810	Stk17b	Stk17b	chr1:53812355-53842059	SVZ_IZ	VZ	OK	2.18137	4.39257	1.00983	-3.60784	0.000308759	0.00104688	yes
NM_007611	Casp7	Casp7	chr19:56471618-56516833	SVZ_IZ	VZ	OK	3.70169	7.45413	1.00986	-3.78021	0.000156698	0.000563883	yes
NM_001081085	Sapcd2	Sapcd2	chr2:25227840-25233733	SVZ_IZ	VZ	OK	8.63273	17.3852	1.00997	-4.95251	7.33E-07	3.85E-06	yes
NM_019636	Tbc1d1	Tbc1d1	chr5:64551449-64742725	CP	VZ	OK	5.85189	11.7855	1.01004	-6.70493	2.01E-11	1.79E-10	yes
NM_172506	Boc	Boc	chr16:44485157-44558983	SVZ_IZ	VZ	OK	11.91	23.9928	1.01043	-5.55036	2.85E-08	1.82E-07	yes
NM_027290	Mcm10	Mcm10	chr2:4911769-4933837	SVZ_IZ	VZ	OK	6.55316	13.202	1.0105	-4.78398	1.72E-06	8.57E-06	yes
NM_172806	Btbd7	Btbd7	chr12:104022857-104116616	CP	VZ	OK	4.53675	9.14182	1.01082	-6.03356	1.60E-09	1.18E-08	yes
