test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
Ak3	Ak3	Ak3	chr19:29095321-29123219	SVZ_IZ	VZ	OK	27.3852	54.7709	1.00002	-5.73023	1.00E-08	5.66E-08	yes
Kif16b	Kif16b	Kif16b	chr2:142444080-142727200	CP	VZ	OK	1.22853	2.45753	1.00028	-4.47894	7.50E-06	3.04E-05	yes
Sars2	Sars2	Sars2	chr7:29526986-29538898	CP	VZ	OK	5.1124	10.2269	1.0003	-4.91066	9.08E-07	4.12E-06	yes
Dleu7	Dleu7	Dleu7	chr14:62895065-62911816	CP	VZ	OK	6.61561	13.2368	1.00061	-4.66107	3.15E-06	1.33E-05	yes
Scly	Scly	Scly	chr1:93194914-93217657	CP	VZ	OK	2.359	4.72022	1.00068	-4.05524	5.01E-05	0.000179401	yes
Hist1h2bg	Hist1h2bg	Hist1h2bg	chr13:23663268-23663883	CP	VZ	OK	2.74965	5.50468	1.00141	-2.4707	0.0134847	0.0297375	yes
Morn1	Morn1	Morn1	chr4:154460685-154519616	CP	VZ	OK	1.315	2.63266	1.00146	-3.0002	0.00269804	0.0070257	yes
Cenpq	Cenpq	Cenpq	chr17:41060003-41071500	SVZ_IZ	VZ	OK	17.1165	34.271	1.0016	-4.71547	2.41E-06	1.04E-05	yes
Tmc7	Tmc7	Tmc7	chr7:125679357-125728200	CP	VZ	OK	1.76632	3.53665	1.00164	-4.70246	2.57E-06	1.10E-05	yes
Zbtb8os	Zbtb8os	Zbtb8os	chr4:129013269-129024273	CP	VZ	OK	21.7453	43.5418	1.0017	-5.10399	3.33E-07	1.59E-06	yes
Cald1	Cald1	Cald1	chr6:34659443-34725469	CP	VZ	OK	8.18521	16.3993	1.00254	-6.67711	2.44E-11	1.74E-10	yes
Lima1	Lima1	Lima1	chr15:99608898-99705887	SVZ_IZ	VZ	OK	20.2425	40.5624	1.00276	-9.8845	0	0	yes
Gm12070	Gm12070	Gm12070	chr11:26685107-26687859	CP	VZ	OK	317.149	635.563	1.00288	-6.61547	3.70E-11	2.61E-10	yes
Mki67	Mki67	Mki67	chr7:142881470-142908062	SVZ_IZ	VZ	OK	28.2608	56.6541	1.00338	-5.87364	4.26E-09	2.50E-08	yes
Pdgfrl	Pdgfrl	Pdgfrl	chr8:42011586-42076124	SVZ_IZ	VZ	OK	1.00895	2.02275	1.00347	-2.26345	0.0236082	0.0486031	yes
Ctnnbl1	Ctnnbl1	Ctnnbl1	chr2:157563136-157717639	CP	VZ	OK	25.3978	50.9251	1.00367	-7.33027	2.30E-13	1.88E-12	yes
Plac9a	Plac9a,Plac9b	Plac9a,Plac9b	chr14:26986803-27001837	SVZ_IZ	VZ	OK	25.7768	51.6948	1.00394	-4.31186	1.62E-05	6.25E-05	yes
Eme1	Eme1	Eme1	chr11:94491137-94515068	SVZ_IZ	VZ	OK	6.56125	13.1597	1.00408	-4.25384	2.10E-05	7.98E-05	yes
Gabpa	Gabpa	Gabpa	chr16:84828115-84864023	CP	VZ	OK	9.87749	19.814	1.0043	-7.11413	1.13E-12	8.85E-12	yes
Raet1d	Raet1d	Raet1d	chr10:21878414-22093945	SVZ_IZ	VZ	OK	1.47564	2.96052	1.00451	-2.34959	0.018794	0.0398235	yes
