test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
1300002K09Rik	1300002K09Rik	1300002K09Rik	chr4:45861818-45899880	SVZ_IZ	VZ	OK	0.440686	0.0205493	-4.42259	4.28344	1.84E-05	7.05E-05	yes
Cdh12	Cdh12	Cdh12	chr15:21041206-21519288	SVZ_IZ	VZ	OK	1.70831	0.127638	-3.74244	7.88847	3.11E-15	2.90E-14	yes
Dclk3	Dclk3	Dclk3	chr9:111341584-111392115	SVZ_IZ	VZ	OK	0.342441	0.0258034	-3.73022	3.72075	0.000198631	0.000646333	yes
Tph1	Tph1	Tph1	chr7:53900010-53927907	SVZ_IZ	VZ	OK	0.77863	0.0694752	-3.48637	4.26338	2.01E-05	7.67E-05	yes
1700028P14Rik	1700028P14Rik	1700028P14Rik	chr19:23633249-23727302	SVZ_IZ	VZ	OK	0.654334	0.0643077	-3.34696	2.36819	0.0178753	0.0381155	yes
Gm19345	Gm19345	Gm19345	chr7:20437351-20446648	SVZ_IZ	VZ	OK	0.526385	0.0537263	-3.29242	2.32781	0.0199222	0.0419324	yes
Dsg2	Dsg2	Dsg2	chr18:20716616-20763027	SVZ_IZ	VZ	OK	0.290105	0.0314009	-3.2077	4.24768	2.16E-05	8.19E-05	yes
Tekt4	Tekt4	Tekt4	chr17:25608534-25613539	SVZ_IZ	VZ	OK	0.606623	0.0662192	-3.19548	3.21545	0.00130239	0.00362257	yes
Gm12709	Gm12709	Gm12709	chr4:102432967-102684570	SVZ_IZ	VZ	OK	0.366079	0.0400154	-3.19353	2.9016	0.00371257	0.00937708	yes
Rasgrf1	Rasgrf1	Rasgrf1	chr9:89804612-89921817	SVZ_IZ	VZ	OK	0.711663	0.0788618	-3.17379	2.7531	0.00590341	0.0142435	yes
Ntsr2	Ntsr2	Ntsr2	chr12:16660275-16667042	SVZ_IZ	VZ	OK	1.17779	0.132991	-3.14668	4.30011	1.71E-05	6.57E-05	yes
Zpld1	Zpld1	Zpld1	chr16:55225287-55283350	SVZ_IZ	VZ	OK	0.307135	0.0380111	-3.01438	3.08742	0.00201901	0.00540063	yes
9130227L01Rik	9130227L01Rik	9130227L01Rik	chr1:55988084-56028942	SVZ_IZ	VZ	OK	0.601153	0.0754621	-2.99391	3.37148	0.000747662	0.00218614	yes
Gabbr2	Gabbr2	Gabbr2	chr4:46676769-47004586	SVZ_IZ	VZ	OK	0.972666	0.125069	-2.95923	5.34703	8.94E-08	4.57E-07	yes
Kcna1	Kcna1	Kcna1	chr6:126586480-126595819	SVZ_IZ	VZ	OK	1.48403	0.200873	-2.88517	8.01699	1.11E-15	1.06E-14	yes
